id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
27,täglich,"nein, nie","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie",,"nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,6,5,4,5,4,4,4,4,5,4,3,mehrmals im Monat,25 Euro bis weniger als 50 Euro,,0,0,0,Ja,15,männlich,33,Ausbildung,600
28,seltener,"ja, manchmal","nein, nie",,"nein, nie","ja, manchmal","nein, nie","ja, manchmal","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,4,4,3,3,4,4,3,4,5,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,0,Nein,10,männlich,33,Erwerbstätigkeit,3600
29,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",4,4,5,6,6,4,3,,6,4,6,6,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,1,0,1,Nein,24,weiblich,,Erwerbstätigkeit,3300
30,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst",,"ja, vereinzelt","ja, vereinzelt",4,6,6,4,6,3,5,5,4,6,6,6,einmal im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Ja,15,weiblich,16,Ausbildung,700
31,täglich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",6,4,1,2,6,4,5,3,5,1,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,,0,1,0,Nein,12,weiblich,24,Studium,
32,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,5,4,4,4,3,5,4,5,,5,4,wöchentlich,100 Euro oder mehr,,0,1,1,Ja,30,weiblich,22,Studium,400
33,täglich,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie",,"ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig",4,4,4,6,5,3,4,5,3,5,5,4,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,1,0,Ja,29,männlich,21,Erwerbstätigkeit,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","nein, nie","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",3,1,6,4,3,4,4,4,4,4,6,4,mehrmals im Monat,,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,18,weiblich,19,Ausbildung,400
36,,"nein, nie",,"ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",2,4,2,6,4,4,5,3,4,2,4,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,0,Nein,5,weiblich,22,Sonstiges,2200
37,,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",4,5,5,4,6,4,6,3,4,4,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,0,0,1,Nein,17,,25,Ausbildung,900
38,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",6,4,6,6,6,5,6,5,6,6,6,6,mehrmals im Monat,,Drogerien,0,1,0,Ja,18,weiblich,22,Erwerbstätigkeit,1800
39,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig",,"nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",4,5,5,6,,3,5,3,,5,5,5,,50 Euro bis weniger als 100 Euro,Drogerien,0,1,0,Ja,22,weiblich,24,Studium,400
40,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig",,"nein, nicht bewusst","nein, nicht bewusst",4,6,3,6,5,4,4,3,6,3,6,6,mehrmals im Monat,,Drogerien,1,0,1,Nein,20,männlich,24,Ausbildung,900
41,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",5,5,4,5,6,2,3,4,5,,5,4,,10 Euro bis weniger als 25 Euro,Drogerien,1,1,1,Nein,23,weiblich,23,Sonstiges,2000
42,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst",,"ja, vereinzelt","ja, regelmäßig",4,4,3,6,4,4,4,3,4,3,3,3,mehrmals im Monat,,Drogerien,1,1,0,Ja,28,weiblich,22,Erwerbstätigkeit,1900
43,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig",2,6,4,6,6,2,4,6,4,4,5,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Ja,17,,20,Erwerbstätigkeit,4700
44,täglich,"nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt",,4,4,2,3,3,2,3,4,4,3,6,6,einmal im Monat,,Supermarkt,1,0,1,Nein,21,weiblich,29,Erwerbstätigkeit,5000
45,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",3,4,4,6,6,4,,4,4,5,6,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Nein,4,männlich,22,Sonstiges,
46,mehrmals wöchentlich,"ja, manchmal",,"ja, manchmal","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst",,"ja, vereinzelt","ja, vereinzelt",3,5,4,4,4,3,4,4,5,4,5,6,seltener,weniger als 10 Euro,,0,1,0,Nein,11,weiblich,,Studium,700
47,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",4,3,4,4,6,1,6,2,4,3,4,2,mehrmals im Monat,100 Euro oder mehr,Drogerien,0,1,0,Ja,23,weiblich,,Studium,400
48,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,4,3,4,4,3,4,4,4,4,3,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,18,weiblich,26,Studium,100
49,täglich,,"ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal",,"ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,,3,3,4,3,4,3,5,3,4,5,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,1,0,0,Ja,16,weiblich,22,Sonstiges,500
50,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,,5,4,5,5,4,4,6,5,4,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,1,1,Nein,12,weiblich,27,Erwerbstätigkeit,
51,mehrmals wöchentlich,,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,3,5,3,5,4,4,3,3,4,3,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,13,weiblich,33,Erwerbstätigkeit,4900
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,täglich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",5,5,3,,6,3,6,6,6,4,6,6,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,18,weiblich,18,Schule,100
54,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,6,3,6,2,3,5,3,3,2,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,19,weiblich,26,Ausbildung,600
55,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",6,,5,5,6,5,6,6,5,4,6,4,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,0,0,0,Nein,11,divers,25,Studium,400
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig",4,4,4,,5,3,5,5,5,3,6,6,wöchentlich,25 Euro bis weniger als 50 Euro,Drogerien,1,1,1,Ja,27,männlich,22,Studium,600
58,mehrmals wöchentlich,"ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",3,4,4,,4,3,3,4,4,4,4,,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,0,Ja,19,weiblich,20,Studium,300
59,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",5,4,6,6,6,5,6,6,6,4,,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,1,1,Nein,22,divers,22,Studium,800
60,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,4,5,5,5,4,6,4,4,4,5,4,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,0,,10,männlich,26,Studium,
61,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",2,6,6,6,4,3,4,6,4,4,3,5,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Ja,23,weiblich,25,Studium,200
62,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",4,5,,6,6,5,6,6,5,4,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Ja,21,weiblich,25,Studium,800
63,täglich,"ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",5,6,,6,6,2,6,6,6,4,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Ja,22,weiblich,23,Studium,600
